@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311405,6,21,31,7,5,3,1,2,18,False
91311405,7,26,37,8,6,4,1,2,21,False
91311405,8,30,43,8,7,4,2,2,23,False
91311405,9,31,46,8,7,4,2,2,23,False
91311405,10,32,46,8,7,4,1,3,23,False
91311405,11,31,45,8,7,5,1,2,23,False
91311405,12,28,43,7,7,3,1,2,20,False
91311405,13,28,43,6,7,2,1,1,17,False
91311405,14,30,42,5,7,2,2,1,17,False
91311405,15,30,42,4,7,1,2,2,16,False
91311405,16,29,42,4,6,1,1,2,14,False
91311405,17,29,45,4,6,1,1,2,14,False
91311405,18,29,43,3,5,1,1,1,11,False
91311082,1,0,0,0,0,0,0,0,0,True
91311082,2,2,2,2,0,2,1,0,5,True
91311082,3,3,7,3,1,2,1,1,8,True
91311082,4,4,8,4,1,2,1,1,9,True
91311082,5,4,9,4,1,2,1,1,9,True
91311082,6,5,11,4,2,2,1,2,11,True
91311082,7,6,12,5,3,3,1,2,14,True
91311082,8,7,13,5,4,3,1,2,15,True
91311082,9,7,15,5,4,3,1,2,15,True
91311082,10,6,14,4,5,1,0,2,12,True
91311082,11,6,12,4,4,2,0,1,11,True
91311082,12,5,12,3,4,2,0,1,10,True
91311082,13,5,12,3,4,2,0,1,10,True
91311082,14,6,12,3,4,2,0,0,9,True
91311082,15,7,14,2,4,1,1,0,8,True
91311082,16,7,14,2,3,1,1,0,7,True
